Seafood Item Category ,Taxon (common name),Location of Study,"Mean Hg Concentration
(ppm, wet weight)",Number of Samples,Data Source (See Supplemental Material for References)
Anchovies,anchovy,"(market, Turkey)",0.123,35,(Gunsen 2004)
Anchovies,anchovy,"(market, Brazil)",0.050,4,(Augelli et al. 2007)
Anchovies,anchovy,"(market, Spain)",0.080,3,(Domingo et al. 2007)
Anchovies,anchovy,"(market, UK)",0.050,2,(Food Standards Agency 2006)
Anchovies,anchovy-California,US-California,0.045,14,(Greenfield and Jahn 2010)
Anchovies,anchovy-California,US,0.043,40,(Hall et al. 1978)
Anchovies,anchovy-canned,"(market, UK)",0.049,9,(Knowles et al. 2003)
Anchovies,anchovy-European,"(market, Spain)",0.031,6,(Carbonell et al. 2009)
Anchovies,anchovy-European,"(market, Spain)",0.058,1,(Sahuquillo et al. 2007)
Anchovies,anchovy-European,Adriatic Sea,0.140,154,(Gilmartin and Revelante 1975)
Anchovies,anchovy-European,Croatia,0.042,1,(Vedrina-Dragojevic et al. 2002)
Anchovies,anchovy-European,Spain,0.060,8,(Nadal et al. 2008)
Anchovies,anchovy-European,Spain-Mediterranean Sea,0.049,18,(Pastor et al. 1994)
Anchovies,anchovy-European,Spain-Mediterranean Sea,0.045,5,(Arcos et al. 2002)
Anchovies,anchovy-European,Italy,0.060,41,(Capelli et al. 2004)
Anchovies,anchovy-European,Italy,0.120,98,(Capelli et al. 1983)
Anchovies,anchovy-European,"(market, Italy)",0.075,3,(Plessi et al. 2001)
Anchovies,anchovy-European ,Croatia,0.154,10,(Juresa and Blanusa 2003)
Anchovies,anchovy-Japanese,Japan,0.008,2,(Yamashita et al. 2005)
Anchovies,anchovy-Japanese,"(market, Japan)",0.022,1,(Japanese Ministry of Health 2003)
Bass (Chilean),seabass-Chilean,"(market, US)",0.354,74,(USFDA 2011)
Bass (Chilean),seabass-Chilean,Southern Ocean,0.330,16,(McArthur et al. 2003)
Bass (Chilean),seabass-Chilean,Chile,0.310,1,(Yamashita et al. 2005)
Bass (Chilean),seabass-Chilean,market (US),0.600,2,(Knobeloch et al. 1995)
Bass (Chilean),seabass-Chilean,"(market, US-NJ)",0.380,7,(Burger and Gochfeld 2005)
Bass (freshwater),bass-rock,Great Lakes,0.242,32,(USEPA 2011a)
Bass (Freshwater),bass-rock (freshwater-wild),Canada - Ontario lakes,0.204,18,(Scheuhammer and Graham 1999)
Bass (freshwater),bass-white,Lake Erie,0.195,30,(Kelso and Frank 1974)
Bass (freshwater),bass-white,Great Lakes,0.118,69,(USEPA 2011a)
"Bass (Saltwater, Black, White, Striped)",bass-striped,"(market, US)",0.072,41,(USFDA 2011)
"Bass (Saltwater, Black, White, Striped)",bass-striped (farmed),"(market, US-NYC)",0.028,15,(McKelvey et al. 2010; McKelvey unpublished data)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Delaware,0.274,14,(State of Delaware 2010)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Delaware,0.344,12,(State of Delaware 2010)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Atlantic,0.181,2,"(Delaware River Basin Commission, 2011)"
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US,0.264,702,(USEPA 2011a)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US,0.489,117,(Hall et al. 1978)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Maryland,0.504,43,(State of Maryland 2007)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),Canada-Atlantic,0.650,39,(Ray et al. 1984)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Chesapeake,0.120,79,(Mason et al. 2006)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-New Jersey,0.510,4,(Horwitz et al. 2005)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-New Jersey,0.243,28,(State of New Jersey 2004)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-North Carolina,0.310,4,(State of North Carolina 2011)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Rhode Island,0.160,66,(Piraino and Taylor 2009)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Virginia,0.144,21,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Virginia,0.349,28,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Virginia,0.584,43,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Virginia,0.094,23,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Virginia,0.120,47,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",bass-striped (wild),US-Virginia,0.311,39,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",sea bass-rock,US-Florida,0.070,1,(Adams et al. 2003)
"Bass (Saltwater, Black, White, Striped)",seabass,"(market, UK)",0.065,4,(Knowles et al. 2003)
"Bass (Saltwater, Black, White, Striped)",seabass,"(market, Canada)",0.495,132,(Health Canada 2007)
"Bass (Saltwater, Black, White, Striped)",seabass ,"(market, US)",0.547,10,(USFDA 2011)
"Bass (Saltwater, Black, White, Striped)",seabass-black,US-Florida,0.136,21,(Adams et al. 2003)
"Bass (Saltwater, Black, White, Striped)",seabass-black,US,0.150,2,(USEPA 2011a)
"Bass (Saltwater, Black, White, Striped)",seabass-black,"(market, US)",0.126,29,(USFDA 2011)
"Bass (Saltwater, Black, White, Striped)",seabass-black,US-Delaware,0.072,1,(State of Delaware 2010)
"Bass (Saltwater, Black, White, Striped)",seabass-black,"(market, US-NYC)",0.105,15,(McKelvey et al. 2010; McKelvey unpublished data)
"Bass (Saltwater, Black, White, Striped)",seabass-black,"(market, US-NC)",0.064,1,(Levine et al. 2005)
"Bass (Saltwater, Black, White, Striped)",seabass-black,US,0.138,53,(Hall et al. 1978)
"Bass (Saltwater, Black, White, Striped)",seabass-black,US-New York Bight,0.050,14,(Deshpande et al. 2000)
"Bass (Saltwater, Black, White, Striped)",seabass-black,US-Virginia,0.053,2,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",seabass-black,US-Virginia,0.005,1,(State of Virginia 2009)
"Bass (Saltwater, Black, White, Striped)",seabass-Japanese,"(market, Hong Kong)",0.028,5,(Chung et al. 2008)
"Bass (Saltwater, Black, White, Striped)",seabass-spotted,"(market, US)",0.180,1,(USFDA 2011)
"Bass (Saltwater, Black, White, Striped)",seabass-white,"(market, US)",0.270,1,(USFDA 2011)
Bluefish,bluefish,US-Florida,0.680,1,(Strom and Graves 2001)
Bluefish,bluefish,US-NC-Cape Hatteras,0.370,6,(Cross et al. 1973)
Bluefish,bluefish,US-NY-Long Island Sound,0.137,46,(Hammerschmidt and Fitzgerald 2006)
Bluefish,bluefish,US-New York Bight,0.102,14,(Deshpande et al. 2000)
Bluefish,bluefish,US-New Jersey,0.350,206,(Burger 2009)
Bluefish,bluefish,US-Delaware,0.150,16,(State of Delaware 2010)
Bluefish,bluefish,US-Delaware,0.531,13,(State of Delaware 2010)
Bluefish,bluefish,US-Atlantic,0.230,1,"(Delaware River Basin Commission, 2011)"
Bluefish,bluefish,US,0.220,3,(Bahnick et al. 1994)
Bluefish,bluefish,"(market, US-NJ)",0.260,51,(Burger and Gochfeld 2005)
Bluefish,bluefish,US-Atlantic,0.050,1,(USEPA 2011b)
Bluefish,bluefish,US,0.290,166,(USEPA 2011a)
Bluefish,bluefish,"(market, US)",0.368,94,(USFDA 2011)
Bluefish,bluefish,US,0.304,73,(Hall et al. 1978)
Bluefish,bluefish,US-Maryland,0.202,4,(State of Maryland 2007)
Bluefish,bluefish,US-New Jersey,0.347,30,(State of New Jersey 2004)
Bluefish,bluefish,US-North Carolina,0.147,35,(State of North Carolina 2011)
Bluefish,bluefish,US-Virginia,0.075,10,(State of Virginia 2009)
Bluefish,bluefish,US-Virginia,0.085,5,(State of Virginia 2009)
Bluefish,bluefish,US-Virginia,0.055,3,(State of Virginia 2009)
Bluefish,bluefish,US-Virginia,0.091,3,(State of Virginia 2009)
Bluefish,bluefish,US-Virginia,0.034,12,(State of Virginia 2009)
Bluefish,bluefish,US-Florida,0.568,226,(Adams et al. 2003)
Butterfish,butterfish,US-NY/NJ,0.080,4,(USEPA 2011a)
Butterfish,butterfish,US-North Atlantic,0.060,90,(Hall et al. 1978)
Butterfish,"butterfish (harvestfish, white pompano)","(market, US-NYC)",0.004,11,(McKelvey et al. 2010; McKelvey unpublished data)
Butterfish,"butterfish (harvestfish,white pompano)","(market, US-NYC)",0.023,4,(McKelvey et al. 2010; McKelvey unpublished data)
Carp,buffalo-bigmouth,US-Louisiana,0.472,18,(USEPA 2011a)
Carp,buffalo-bigmouth,US-Louisiana,0.282,8,(State of Louisiana 2011)
Carp,buffalo-bigmouth,US-Louisiana,0.362,27,(State of Louisiana 2011)
Carp,buffalofish,"(market, US)",0.137,17,(USFDA 2011)
